"Statistic Label","Year","Type of Meat","UNIT","VALUE"
"Meat Products for Domestic Use","2020","Total Meat","000 Tonnes","442.4733632"
"Meat Products for Domestic Use","2020","Beef and veal","000 Tonnes","94"
"Meat Products for Domestic Use","2020","Pig meat","000 Tonnes","156.3179"
"Meat Products for Domestic Use","2020","Sheep meat","000 Tonnes","16"
"Meat Products for Domestic Use","2020","Poultry meat","000 Tonnes","176.1554632"
"Meat Products for Domestic Use","2021","Total Meat","000 Tonnes","462.0418784"
"Meat Products for Domestic Use","2021","Beef and veal","000 Tonnes","95"
"Meat Products for Domestic Use","2021","Pig meat","000 Tonnes","156.1789"
"Meat Products for Domestic Use","2021","Sheep meat","000 Tonnes","15.5"
"Meat Products for Domestic Use","2021","Poultry meat","000 Tonnes","195.3629784"
"Human Consumption of Meat Products","2012","Total Meat","Kg per capita","81"
"Human Consumption of Meat Products","2012","Beef and veal","Kg per capita","19"
"Human Consumption of Meat Products","2012","Pig meat","Kg per capita","27"
"Human Consumption of Meat Products","2012","Sheep meat","Kg per capita","4"
"Human Consumption of Meat Products","2012","Poultry meat","Kg per capita","30"
"Human Consumption of Meat Products","2013","Total Meat","Kg per capita","85"
"Human Consumption of Meat Products","2013","Beef and veal","Kg per capita","19"
"Human Consumption of Meat Products","2013","Pig meat","Kg per capita","32"
"Human Consumption of Meat Products","2013","Sheep meat","Kg per capita","3"
"Human Consumption of Meat Products","2013","Poultry meat","Kg per capita","31"
"Human Consumption of Meat Products","2014","Total Meat","Kg per capita","85"
"Human Consumption of Meat Products","2014","Beef and veal","Kg per capita","19"
"Human Consumption of Meat Products","2014","Pig meat","Kg per capita","33"
"Human Consumption of Meat Products","2014","Sheep meat","Kg per capita","3"
"Human Consumption of Meat Products","2014","Poultry meat","Kg per capita","30"
"Human Consumption of Meat Products","2015","Total Meat","Kg per capita","85"
"Human Consumption of Meat Products","2015","Beef and veal","Kg per capita","19"
"Human Consumption of Meat Products","2015","Pig meat","Kg per capita","31"
"Human Consumption of Meat Products","2015","Sheep meat","Kg per capita","3"
"Human Consumption of Meat Products","2015","Poultry meat","Kg per capita","32"
"Human Consumption of Meat Products","2016","Total Meat","Kg per capita","88"
"Human Consumption of Meat Products","2016","Beef and veal","Kg per capita","19"
"Human Consumption of Meat Products","2016","Pig meat","Kg per capita","31"
"Human Consumption of Meat Products","2016","Sheep meat","Kg per capita","3"
"Human Consumption of Meat Products","2016","Poultry meat","Kg per capita","35"
"Human Consumption of Meat Products","2017","Total Meat","Kg per capita","88.16310674"
"Human Consumption of Meat Products","2017","Beef and veal","Kg per capita","19.71624697"
"Human Consumption of Meat Products","2017","Pig meat","Kg per capita","31.08162754"
"Human Consumption of Meat Products","2017","Sheep meat","Kg per capita","3.348776872"
"Human Consumption of Meat Products","2017","Poultry meat","Kg per capita","34.01645536"
"Human Consumption of Meat Products","2018","Total Meat","Kg per capita","90.35601957"
